id,user,date,timestamp,commentText,likes
z133hrczptevsvxxm04cexlqvyaqwdqxmdk,BladeWinters,21 seconds ago,1488466040976,Can 'The Voice' sue for being linked to a government agency with such bad publicity?,0
z125ulzzyofiztan2234jr3bhlichz3sp,Vasectomy Fail,29 seconds ago,1488466040978,it's like going to a really crappy movie and the baby sitting next to you for once DOESN'T shit his pants and cry the whole time. it doesn't actually make the movie better.,0
z13bvnej3lnlf3axw04cibcrkmrqwvtz5yg0k,Alexia Tr,2 minutes ago,1488465920978,"VOICE? I think we already have institutions against crimes, let's call them, FBI, the Police department, the sheriff department, US Marshals, border patrol, ICE, state police, etc.",0
z13iez250nvjf11qw04cilkr0v33c13yxxc0k,Colin Silver,2 minutes ago,1488465920979,That Hannibal bit was the funniest most disturbing thing I've seen in a long time. lol.,0
z13iuxpanw2niwoskwj1jvzy2vnrcid0,Jace Purdy,2 minutes ago,1488465920980,Better tone but still awful content in the speech,0
z13yczkpolbfslfxn04cdho4ztbwj13odzo0k,The Best Gun Ever Necrochasm,3 minutes ago,1488465860981,"Got to admit one thing. As i get older time seems to go by faster, but with this jack fuck as president time seems to be going slower than it was before. Work days feel longer now which suck. Good times feel shorter and so does sex. Maybe that second one is my fault.",0
z12sgdmjutfbwles223ji5u5iliww5tet,alan rasmussen,3 minutes ago,1488465860982,"They put a bow on the POS, now we have a pretty POS. Yeah!",0
z13tup4b0wqefhamz22ai3t5usjfj11r404,four cats,4 minutes ago,1488465800982,"Trump's speech sucked so bad that I can't even laugh at Colbert. It's terrible that people's expectations were so low that this POS excuse for a president is admired for such a nationalistic low-key rant. And putting the widow on display for political gain was so cheesy, especially when he spent all week blaming the generals for his death.",0
z12osp3byk2qcjga404cijnjjybcejqhhwo0k,Ed Bain,7 minutes ago,1488465620983,One speech does not cancel out the reality of all of this....,0
z122g1zg0xrpf5tiv04cetpagmmkjbhac44,pop5678eye,7 minutes ago,1488465620984,"Trump has lowered the bar on what's considered 'presidential' so much that a banal speech, with only implied hatred is now considered 'presidential' just because it doesn't include a string of profanities. Sounding like a decent human being for the first time in months does not elevate one to the level of what's supposed to be the leader of the most powerful country in the world...",0
z13silwxnrjlv12d2230vtgyiofyutpla,Nurto Mohamed,9 minutes ago,1488465500984,"trump didn't shit his pants and rant and rave, but still saying the same bullshit, however, his tone changed and it's presidential and that's okay he gets an A+ speech.",0
